tmax,tmin,station,date
23.7,15,VICTORICA,2019-01-17
24.5,6,VIEDMA AERO,2019-01-17
28.3,13.9,VILLA DOLORES AERO,2019-01-17
20.5,16,VILLA GESELL AERO,2019-01-17
27.7,13.3,VILLA MARIA DEL RIO SECO,2019-01-17
27.2,12.8,VILLA REYNOLDS AERO,2019-01-17
22.8,13.5,AEROPARQUE AERO,2019-01-18
22.8,9.5,AZUL AERO,2019-01-18
30,6.2,BAHIA BLANCA AERO,2019-01-18
29.5,4,BARILOCHE AERO,2019-01-18
1.6,-5.8,BASE BELGRANO II,2019-01-18
1.4,-1.4,BASE CARLINI (EX JUBANY),2019-01-18
,-4.3,BASE ESPERANZA,2019-01-18
-2.5,-6.7,BASE MARAMBIO,2019-01-18
0.3,-1.8,BASE ORCADAS,2019-01-18
2.3,-1.5,BASE SAN MARTIN,2019-01-18
23.6,5.6,BENITO JUAREZ AERO,2019-01-18
27.4,20.2,BERNARDO DE IRIGOYEN AERO,2019-01-18
24.1,11.9,BOLIVAR AERO,2019-01-18
24,13.7,BUENOS AIRES,2019-01-18
24.3,13.4,CAMPO DE MAYO AERO,2019-01-18
27.2,14.8,CATAMARCA AERO,2019-01-18
23.4,15.3,CERES AERO,2019-01-18
27,12.3,CHAMICAL AERO,2019-01-18
30.6,3.8,CHAPELCO AERO,2019-01-18
26,12,CHEPES,2019-01-18
27,14,CHILECITO AERO,2019-01-18
32.5,12.2,CIPOLLETTI,2019-01-18
26.6,18.1,COMODORO RIVADAVIA AERO,2019-01-18
21.8,14.9,CONCORDIA AERO,2019-01-18
21.6,10.5,CORDOBA AERO,2019-01-18
23,12,CORDOBA OBSERVATORIO,2019-01-18
26.1,5.3,CORONEL PRINGLES AERO,2019-01-18
25.4,5.9,CORONEL SUAREZ AERO,2019-01-18
27.9,19.8,CORRIENTES AERO,2019-01-18
23.1,11.5,DOLORES AERO,2019-01-18
32.3,5,EL BOLSON AERO,2019-01-18
18.9,9.8,EL CALAFATE AERO,2019-01-18
25,13,EL PALOMAR AERO,2019-01-18
23.2,14,EL TREBOL,2019-01-18
21.6,11.5,ESC.AVIACION MILITAR AERO,2019-01-18
28.7,6.8,ESQUEL AERO,2019-01-18
24.6,13.2,EZEIZA AERO,2019-01-18
31.1,20.9,FORMOSA AERO,2019-01-18
28.3,7,GENERAL PICO AERO,2019-01-18
29,10,GOBERNADOR GREGORES AERO,2019-01-18
23.2,14.8,GUALEGUAYCHU AERO,2019-01-18
32.8,23,IGUAZU AERO,2019-01-18
28,21.8,ITUZAINGO,2019-01-18
26.5,6,JACHAL,2019-01-18
21,15.7,JUJUY AERO,2019-01-18
18.6,13.5,JUJUY U N,2019-01-18
24.2,14,JUNIN AERO,2019-01-18
23.1,12.7,LA PLATA AERO,2019-01-18
17.1,8.2,LA QUIACA OBS.,2019-01-18
28,17,LA RIOJA AERO,2019-01-18
25,11.2,LABOULAYE AERO,2019-01-18
23.2,12.5,LAS FLORES AERO,2019-01-18
32.8,18.4,LAS LOMITAS,2019-01-18
25.5,5.6,MALARGUE AERO,2019-01-18
30.5,9,MAQUINCHAO,2019-01-18
19.4,10.2,MAR DEL PLATA AERO,2019-01-18
23.5,7.5,MARCOS JUAREZ AERO,2019-01-18
25,11,MARIANO MORENO AERO,2019-01-18
26.3,9.7,MENDOZA AERO,2019-01-18
25,9.1,MENDOZA OBSERVATORIO,2019-01-18
22.6,18.6,MERCEDES AERO (CTES),2019-01-18
27.8,13,MERLO AERO,2019-01-18
,13.9,METAN,2019-01-18
22.2,16.8,MONTE CASEROS AERO,2019-01-18
25.8,12.9,MORON AERO,2019-01-18
31.1,13.3,NEUQUEN AERO,2019-01-18
24.9,13.4,NUEVE DE JULIO,2019-01-18
24.1,9.5,OLAVARRIA AERO,2019-01-18
23.2,17.2,ORAN AERO,2019-01-18
22.4,15.1,PARANA AERO,2019-01-18
32.4,11.2,PASO DE INDIOS,2019-01-18
23.8,18.9,PASO DE LOS LIBRES AERO,2019-01-18
28,19.2,PCIA. ROQUE SAENZ PE�A AERO,2019-01-18
24.3,13,PEHUAJO AERO,2019-01-18
27,9,PERITO MORENO AERO,2019-01-18
25.3,7.3,PIGUE AERO,2019-01-18
22.2,11.2,PILAR OBS.,2019-01-18
27,22.4,POSADAS AERO,2019-01-18
27.6,9.8,PUERTO DESEADO AERO,2019-01-18
30,12,PUERTO MADRYN AERO,2019-01-18
22.2,15,PUNTA INDIO B.A.,2019-01-18
23.2,14.4,RAFAELA AERO,2019-01-18
22.8,18,RECONQUISTA AERO,2019-01-18
28.5,19.9,RESISTENCIA AERO,2019-01-18
31.6,11.2,RIO COLORADO,2019-01-18
21.6,9.7,RIO CUARTO AERO,2019-01-18
26,9.5,RIO GALLEGOS AERO,2019-01-18
19.4,8.5,RIO GRANDE B.A.,2019-01-18
24.4,13.6,ROSARIO AERO,2019-01-18
18,14,SALTA AERO,2019-01-18
35,12.9,SAN ANTONIO OESTE AERO,2019-01-18
23.7,14.1,SAN FERNANDO,2019-01-18
27.8,9,SAN JUAN AERO,2019-01-18
24.4,9.5,SAN JULIAN AERO,2019-01-18
25.6,7.9,SAN LUIS AERO,2019-01-18
26.5,9.6,SAN MARTIN (MZA),2019-01-18
26.8,8,SAN RAFAEL AERO,2019-01-18
30,7.2,SANTA CRUZ AERO,2019-01-18
27.5,8.3,SANTA ROSA AERO,2019-01-18
28.4,8,SANTA ROSA DE CONLARA AERO,2019-01-18
26.1,15.3,SANTIAGO DEL ESTERO AERO,2019-01-18
23.3,16.3,SAUCE VIEJO AERO,2019-01-18
23.1,15.5,SUNCHALES AERO,2019-01-18
23,8,TANDIL AERO,2019-01-18
24.5,17,TARTAGAL AERO,2019-01-18
26.2,16.2,TERMAS DE RIO HONDO AERO,2019-01-18
24.8,14,TINOGASTA,2019-01-18
32.5,9.5,TRELEW AERO,2019-01-18
25,12.2,TRENQUE LAUQUEN,2019-01-18
25.6,7.4,TRES ARROYOS,2019-01-18
23.8,15.8,TUCUMAN AERO,2019-01-18
14.7,7,USHUAIA AERO,2019-01-18
26.1,2.7,USPALLATA,2019-01-18
23.5,13,VENADO TUERTO,2019-01-18
,8.3,VICTORICA,2019-01-18
33,12,VIEDMA AERO,2019-01-18
25.8,10.4,VILLA DOLORES AERO,2019-01-18
,12,VILLA GESELL AERO,2019-01-18
23.4,11.6,VILLA MARIA DEL RIO SECO,2019-01-18
23.1,7,VILLA REYNOLDS AERO,2019-01-18
24,17.5,AEROPARQUE AERO,2019-01-19
25.1,9.5,AZUL AERO,2019-01-19
32.2,13.9,BAHIA BLANCA AERO,2019-01-19
31.2,10.2,BARILOCHE AERO,2019-01-19
3,-4.5,BASE BELGRANO II,2019-01-19
4.6,1,BASE CARLINI (EX JUBANY),2019-01-19
2.6,-2.2,BASE ESPERANZA,2019-01-19
0.8,,BASE MARAMBIO,2019-01-19
3.1,-0.9,BASE ORCADAS,2019-01-19
0.8,-3,BASE SAN MARTIN,2019-01-19
26.2,9.7,BENITO JUAREZ AERO,2019-01-19
24.9,18.7,BERNARDO DE IRIGOYEN AERO,2019-01-19
25.9,11.4,BOLIVAR AERO,2019-01-19
25.1,14.6,BUENOS AIRES,2019-01-19
25.4,12.3,CAMPO DE MAYO AERO,2019-01-19
29.2,18.8,CATAMARCA AERO,2019-01-19
25.6,14.8,CERES AERO,2019-01-19
27.8,15.4,CHAMICAL AERO,2019-01-19
32.6,6,CHAPELCO AERO,2019-01-19
29,17,CHEPES,2019-01-19
32,16.2,CHILECITO AERO,2019-01-19
37,17,CIPOLLETTI,2019-01-19
36.6,14.9,COMODORO RIVADAVIA AERO,2019-01-19
25.4,16.5,CONCORDIA AERO,2019-01-19
24.5,9.8,CORDOBA AERO,2019-01-19
25.9,13.5,CORDOBA OBSERVATORIO,2019-01-19
27.6,11,CORONEL PRINGLES AERO,2019-01-19
26.5,10,CORONEL SUAREZ AERO,2019-01-19
22.5,18,CORRIENTES AERO,2019-01-19
25.5,8.5,DOLORES AERO,2019-01-19
34.5,7.5,EL BOLSON AERO,2019-01-19
22.4,10,EL CALAFATE AERO,2019-01-19
26.2,12,EL PALOMAR AERO,2019-01-19
25.8,11.8,EL TREBOL,2019-01-19
24.4,10.5,ESC.AVIACION MILITAR AERO,2019-01-19
31,8.5,ESQUEL AERO,2019-01-19
25.2,12.5,EZEIZA AERO,2019-01-19
23,18.4,FORMOSA AERO,2019-01-19
26.7,13,GENERAL PICO AERO,2019-01-19
23.8,,GOBERNADOR GREGORES AERO,2019-01-19
25.8,13.2,GUALEGUAYCHU AERO,2019-01-19
28.6,21.7,IGUAZU AERO,2019-01-19
25,18,ITUZAINGO,2019-01-19
31,9.5,JACHAL,2019-01-19
23.1,15.8,JUJUY AERO,2019-01-19
20.6,14.5,JUJUY U N,2019-01-19
25.6,13.5,JUNIN AERO,2019-01-19
24,12.2,LA PLATA AERO,2019-01-19
21.6,9,LA QUIACA OBS.,2019-01-19
30.8,16,LA RIOJA AERO,2019-01-19
26.3,11,LABOULAYE AERO,2019-01-19
25.5,12,LAS FLORES AERO,2019-01-19
28.5,19,LAS LOMITAS,2019-01-19
30,8.7,MALARGUE AERO,2019-01-19
33,10,MAQUINCHAO,2019-01-19
23.3,7.4,MAR DEL PLATA AERO,2019-01-19
25.4,12,MARCOS JUAREZ AERO,2019-01-19
25.5,10,MARIANO MORENO AERO,2019-01-19
31.5,14.5,MENDOZA AERO,2019-01-19
30.4,13.6,MENDOZA OBSERVATORIO,2019-01-19
23,16,MERCEDES AERO (CTES),2019-01-19
26,12.5,MERLO AERO,2019-01-19
,14.7,METAN,2019-01-19
23.4,16.5,MONTE CASEROS AERO,2019-01-19
25.1,13.1,MORON AERO,2019-01-19
35.4,18,NEUQUEN AERO,2019-01-19
26.5,13.9,NUEVE DE JULIO,2019-01-19
24.7,9.9,OLAVARRIA AERO,2019-01-19
27,19.3,ORAN AERO,2019-01-19
26,14.2,PARANA AERO,2019-01-19
36.4,14.7,PASO DE INDIOS,2019-01-19
23,17.3,PASO DE LOS LIBRES AERO,2019-01-19
26.8,17.5,PCIA. ROQUE SAENZ PE�A AERO,2019-01-19
26.5,14.2,PEHUAJO AERO,2019-01-19
27.5,13.6,PERITO MORENO AERO,2019-01-19
26.4,10.3,PIGUE AERO,2019-01-19
24.3,11.7,PILAR OBS.,2019-01-19
27,17.7,POSADAS AERO,2019-01-19
31.2,16,PUERTO DESEADO AERO,2019-01-19
36,15,PUERTO MADRYN AERO,2019-01-19
23.6,13.5,PUNTA INDIO B.A.,2019-01-19
25.8,13.4,RAFAELA AERO,2019-01-19
23.5,16.2,RECONQUISTA AERO,2019-01-19
22.9,18.7,RESISTENCIA AERO,2019-01-19
34.2,16.2,RIO COLORADO,2019-01-19
24.6,12.1,RIO CUARTO AERO,2019-01-19
24.5,16.5,RIO GALLEGOS AERO,2019-01-19
18.5,12,RIO GRANDE B.A.,2019-01-19
,18,RIVADAVIA,2019-01-19
25,14,ROSARIO AERO,2019-01-19
21.5,14.8,SALTA AERO,2019-01-19
35.2,18.8,SAN ANTONIO OESTE AERO,2019-01-19
24.2,14.5,SAN FERNANDO,2019-01-19
33.5,14,SAN JUAN AERO,2019-01-19
27.9,18,SAN JULIAN AERO,2019-01-19
28.5,13.1,SAN LUIS AERO,2019-01-19
31.5,12.4,SAN MARTIN (MZA),2019-01-19
30.8,11.6,SAN RAFAEL AERO,2019-01-19
29.2,17.4,SANTA CRUZ AERO,2019-01-19
29.2,11.6,SANTA ROSA AERO,2019-01-19
29,11.2,SANTA ROSA DE CONLARA AERO,2019-01-19
27.2,14.5,SANTIAGO DEL ESTERO AERO,2019-01-19
25.8,17,SAUCE VIEJO AERO,2019-01-19
26.5,13.8,SUNCHALES AERO,2019-01-19
25.2,8,TANDIL AERO,2019-01-19
25.8,16.5,TARTAGAL AERO,2019-01-19
26.6,18.2,TERMAS DE RIO HONDO AERO,2019-01-19
31.5,17.5,TINOGASTA,2019-01-19
39.3,18.2,TRELEW AERO,2019-01-19
27.1,13,TRENQUE LAUQUEN,2019-01-19
28.1,12,TRES ARROYOS,2019-01-19
24.5,17.4,TUCUMAN AERO,2019-01-19
17.6,9.4,USHUAIA AERO,2019-01-19
27.6,3.5,USPALLATA,2019-01-19
,13,VENADO TUERTO,2019-01-19
29.3,12.9,VICTORICA,2019-01-19
34.6,16,VIEDMA AERO,2019-01-19
28.2,13.8,VILLA DOLORES AERO,2019-01-19
23.5,9.5,VILLA GESELL AERO,2019-01-19
25.1,11.3,VILLA MARIA DEL RIO SECO,2019-01-19
28.7,11.8,VILLA REYNOLDS AERO,2019-01-19
24.6,20,AEROPARQUE AERO,2019-01-20
26.5,13.9,AZUL AERO,2019-01-20
31.7,17.8,BAHIA BLANCA AERO,2019-01-20
24.1,6.5,BARILOCHE AERO,2019-01-20
2.4,-0.8,BASE BELGRANO II,2019-01-20
3.2,0.4,BASE CARLINI (EX JUBANY),2019-01-20
3.1,-2.6,BASE ESPERANZA,2019-01-20
0.9,-4.9,BASE MARAMBIO,2019-01-20
2.7,-0.6,BASE ORCADAS,2019-01-20
1.8,-2.4,BASE SAN MARTIN,2019-01-20
26.7,12.5,BENITO JUAREZ AERO,2019-01-20
24.3,18.2,BERNARDO DE IRIGOYEN AERO,2019-01-20
26.6,13.7,BOLIVAR AERO,2019-01-20
26.5,19.4,BUENOS AIRES,2019-01-20
26.8,17.6,CAMPO DE MAYO AERO,2019-01-20
31,19.4,CATAMARCA AERO,2019-01-20
27.6,15,CERES AERO,2019-01-20
29.7,15.9,CHAMICAL AERO,2019-01-20
26.5,12.2,CHAPELCO AERO,2019-01-20
29.5,17,CHEPES,2019-01-20
33.8,14.3,CHILECITO AERO,2019-01-20
37.7,20.7,CIPOLLETTI,2019-01-20
34.1,20.9,COMODORO RIVADAVIA AERO,2019-01-20
27.4,17.1,CONCORDIA AERO,2019-01-20
26.6,11.9,CORDOBA AERO,2019-01-20
26.8,15.7,CORDOBA OBSERVATORIO,2019-01-20
27.6,12.5,CORONEL PRINGLES AERO,2019-01-20
26.9,11.6,CORONEL SUAREZ AERO,2019-01-20
28.1,18.8,CORRIENTES AERO,2019-01-20
25.5,11.6,DOLORES AERO,2019-01-20
28,7.5,EL BOLSON AERO,2019-01-20
20.4,10,EL CALAFATE AERO,2019-01-20
26.5,18,EL PALOMAR AERO,2019-01-20
27.5,12.3,EL TREBOL,2019-01-20
25.4,11,ESC.AVIACION MILITAR AERO,2019-01-20
24.4,9.4,ESQUEL AERO,2019-01-20
26.9,17.3,EZEIZA AERO,2019-01-20
29.5,19.3,FORMOSA AERO,2019-01-20
28,15.1,GENERAL PICO AERO,2019-01-20
,,GOBERNADOR GREGORES AERO,2019-01-20
26.6,16.4,GUALEGUAYCHU AERO,2019-01-20
29.2,18.5,IGUAZU AERO,2019-01-20
,,ITUZAINGO,2019-01-20
,,JACHAL,2019-01-20
25.5,16.8,JUJUY AERO,2019-01-20
22.2,15.5,JUJUY U N,2019-01-20
26.5,13,JUNIN AERO,2019-01-20
24.9,16.2,LA PLATA AERO,2019-01-20
23.8,8.7,LA QUIACA OBS.,2019-01-20
33.8,15.8,LA RIOJA AERO,2019-01-20
27.5,14.1,LABOULAYE AERO,2019-01-20
27,14,LAS FLORES AERO,2019-01-20
31,17,LAS LOMITAS,2019-01-20
35,13.2,MALARGUE AERO,2019-01-20
30.6,13.8,MAQUINCHAO,2019-01-20
27.4,10.6,MAR DEL PLATA AERO,2019-01-20
27.1,12.5,MARCOS JUAREZ AERO,2019-01-20
27,15.5,MARIANO MORENO AERO,2019-01-20
33.5,17.4,MENDOZA AERO,2019-01-20
31.8,15,MENDOZA OBSERVATORIO,2019-01-20
27.8,17.2,MERCEDES AERO (CTES),2019-01-20
26.8,17.4,MERLO AERO,2019-01-20
27.9,17,METAN,2019-01-20
27,18.2,MONTE CASEROS AERO,2019-01-20
26.4,18.4,MORON AERO,2019-01-20
38.1,21.1,NEUQUEN AERO,2019-01-20
27.2,14.3,NUEVE DE JULIO,2019-01-20
26.1,12.1,OLAVARRIA AERO,2019-01-20
29,20.7,ORAN AERO,2019-01-20
27.3,16,PARANA AERO,2019-01-20
31.5,14,PASO DE INDIOS,2019-01-20
27.4,17.4,PASO DE LOS LIBRES AERO,2019-01-20
28.7,15.6,PCIA. ROQUE SAENZ PE�A AERO,2019-01-20
27.4,15.8,PEHUAJO AERO,2019-01-20
,14.5,PERITO MORENO AERO,2019-01-20
26.5,12,PIGUE AERO,2019-01-20
26,14.3,PILAR OBS.,2019-01-20
28.6,19.2,POSADAS AERO,2019-01-20
31.6,17.6,PUERTO DESEADO AERO,2019-01-20
32.4,20.6,PUERTO MADRYN AERO,2019-01-20
23.6,16.5,PUNTA INDIO B.A.,2019-01-20
,15,RAFAELA AERO,2019-01-20
27,19.4,RECONQUISTA AERO,2019-01-20
27.5,20.2,RESISTENCIA AERO,2019-01-20
34.6,18.8,RIO COLORADO,2019-01-20
26,13.2,RIO CUARTO AERO,2019-01-20
18.8,6.7,RIO GALLEGOS AERO,2019-01-20
16.5,3.2,RIO GRANDE B.A.,2019-01-20
26.8,16,ROSARIO AERO,2019-01-20
22.3,15.2,SALTA AERO,2019-01-20
39,20.5,SAN ANTONIO OESTE AERO,2019-01-20
25.2,17.7,SAN FERNANDO,2019-01-20
35.5,17.2,SAN JUAN AERO,2019-01-20
18.4,9.7,SAN JULIAN AERO,2019-01-20
30,15.7,SAN LUIS AERO,2019-01-20
33.2,15.9,SAN MARTIN (MZA),2019-01-20
35.4,15,SAN RAFAEL AERO,2019-01-20
17.5,6.6,SANTA CRUZ AERO,2019-01-20
30.4,14.5,SANTA ROSA AERO,2019-01-20
30,10.2,SANTA ROSA DE CONLARA AERO,2019-01-20
29.8,18.5,SANTIAGO DEL ESTERO AERO,2019-01-20
27.5,16.1,SAUCE VIEJO AERO,2019-01-20
28.4,13.8,SUNCHALES AERO,2019-01-20
25.5,10.5,TANDIL AERO,2019-01-20
30,19,TARTAGAL AERO,2019-01-20
29,18,TERMAS DE RIO HONDO AERO,2019-01-20
35.5,16.5,TINOGASTA,2019-01-20
35.6,20.2,TRELEW AERO,2019-01-20
,,TRENQUE LAUQUEN,2019-01-20
28.1,15,TRES ARROYOS,2019-01-20
27.4,18.2,TUCUMAN AERO,2019-01-20
13.2,7,USHUAIA AERO,2019-01-20
34.8,10.9,USPALLATA,2019-01-20
26.5,13.5,VENADO TUERTO,2019-01-20
30.3,15.7,VICTORICA,2019-01-20
35.9,20.7,VIEDMA AERO,2019-01-20
30.2,13.6,VILLA DOLORES AERO,2019-01-20
26.8,11.4,VILLA GESELL AERO,2019-01-20
27.5,12.6,VILLA MARIA DEL RIO SECO,2019-01-20
31.1,12.8,VILLA REYNOLDS AERO,2019-01-20
28.3,21,AEROPARQUE AERO,2019-01-21
29.2,15.9,AZUL AERO,2019-01-21
31.2,20.7,BAHIA BLANCA AERO,2019-01-21
20.8,8.2,BARILOCHE AERO,2019-01-21
3.5,0.6,BASE BELGRANO II,2019-01-21
3.9,1.3,BASE CARLINI (EX JUBANY),2019-01-21
6,0.4,BASE ESPERANZA,2019-01-21
11,-4.6,BASE MARAMBIO,2019-01-21
5.6,-0.6,BASE ORCADAS,2019-01-21
3,-1.2,BASE SAN MARTIN,2019-01-21
30.5,14.4,BENITO JUAREZ AERO,2019-01-21
28.6,18.4,BERNARDO DE IRIGOYEN AERO,2019-01-21
29.9,14.4,BOLIVAR AERO,2019-01-21
31.1,20.6,BUENOS AIRES,2019-01-21
29.8,15.5,CAMPO DE MAYO AERO,2019-01-21
34.2,20.5,CATAMARCA AERO,2019-01-21
32.2,19,CERES AERO,2019-01-21
32.5,19.9,CHAMICAL AERO,2019-01-21
24.1,9.6,CHAPELCO AERO,2019-01-21
32,19,CHEPES,2019-01-21
35.5,17.5,CHILECITO AERO,2019-01-21
35,17.6,CIPOLLETTI,2019-01-21
26,11,COMODORO RIVADAVIA AERO,2019-01-21
29.8,18.4,CONCORDIA AERO,2019-01-21
30.6,16.4,CORDOBA AERO,2019-01-21
32,19.8,CORDOBA OBSERVATORIO,2019-01-21
30.2,16,CORONEL PRINGLES AERO,2019-01-21
31.3,14.4,CORONEL SUAREZ AERO,2019-01-21
32,19,CORRIENTES AERO,2019-01-21
29.7,,DOLORES AERO,2019-01-21
24.2,4.7,EL BOLSON AERO,2019-01-21
16.3,2.4,EL CALAFATE AERO,2019-01-21
31,16,EL PALOMAR AERO,2019-01-21
30.3,17.8,EL TREBOL,2019-01-21
31.5,18,ESC.AVIACION MILITAR AERO,2019-01-21
18.9,5.8,ESQUEL AERO,2019-01-21
30,17.5,EZEIZA AERO,2019-01-21
34.2,19.7,FORMOSA AERO,2019-01-21
31.7,14,GENERAL PICO AERO,2019-01-21
17,5.5,GOBERNADOR GREGORES AERO,2019-01-21
30.3,17.8,GUALEGUAYCHU AERO,2019-01-21
33.3,20,IGUAZU AERO,2019-01-21
32.7,19.5,ITUZAINGO,2019-01-21
34.3,15.5,JACHAL,2019-01-21
29.1,19.2,JUJUY AERO,2019-01-21
26.4,17.1,JUJUY U N,2019-01-21
30,14.5,JUNIN AERO,2019-01-21
30,17.2,LA PLATA AERO,2019-01-21
25.1,8.5,LA QUIACA OBS.,2019-01-21
35.2,20.8,LA RIOJA AERO,2019-01-21
32.3,18,LABOULAYE AERO,2019-01-21
30,16.7,LAS FLORES AERO,2019-01-21
36.9,20,LAS LOMITAS,2019-01-21
30.5,10,MALARGUE AERO,2019-01-21
27.2,8,MAQUINCHAO,2019-01-21
30.7,16.8,MAR DEL PLATA AERO,2019-01-21
31,16,MARCOS JUAREZ AERO,2019-01-21
30,15,MARIANO MORENO AERO,2019-01-21
34.2,18.6,MENDOZA AERO,2019-01-21
32.4,17.3,MENDOZA OBSERVATORIO,2019-01-21
30.6,18.8,MERCEDES AERO (CTES),2019-01-21
30.2,17.7,MERLO AERO,2019-01-21
30.8,19,METAN,2019-01-21
29.5,18.3,MONTE CASEROS AERO,2019-01-21
30.5,18.4,MORON AERO,2019-01-21
32.8,17.2,NEUQUEN AERO,2019-01-21
31.3,15.3,NUEVE DE JULIO,2019-01-21
28.7,12.4,OLAVARRIA AERO,2019-01-21
34.1,22.3,ORAN AERO,2019-01-21
29.9,17.1,PARANA AERO,2019-01-21
25,9.1,PASO DE INDIOS,2019-01-21
29.9,17.7,PASO DE LOS LIBRES AERO,2019-01-21
33.3,19.5,PCIA. ROQUE SAENZ PE�A AERO,2019-01-21
30.9,16.2,PEHUAJO AERO,2019-01-21
17.5,8.2,PERITO MORENO AERO,2019-01-21
30.8,13.6,PIGUE AERO,2019-01-21
30.1,17.9,PILAR OBS.,2019-01-21
32,21.3,POSADAS AERO,2019-01-21
21.4,7.7,PUERTO DESEADO AERO,2019-01-21
30.6,15.2,PUERTO MADRYN AERO,2019-01-21
28.5,18,PUNTA INDIO B.A.,2019-01-21
30.6,,RAFAELA AERO,2019-01-21
31.5,20.3,RECONQUISTA AERO,2019-01-21
32.4,19.4,RESISTENCIA AERO,2019-01-21
34.2,20.2,RIO COLORADO,2019-01-21
29.2,17.3,RIO CUARTO AERO,2019-01-21
19.5,2.3,RIO GALLEGOS AERO,2019-01-21
13,1.2,RIO GRANDE B.A.,2019-01-21
,24,RIVADAVIA,2019-01-21
29.7,17.3,ROSARIO AERO,2019-01-21
27.4,17.4,SALTA AERO,2019-01-21
34.8,17,SAN ANTONIO OESTE AERO,2019-01-21
29.7,18,SAN FERNANDO,2019-01-21
36,18.2,SAN JUAN AERO,2019-01-21
18.9,6.4,SAN JULIAN AERO,2019-01-21
32.5,17.6,SAN LUIS AERO,2019-01-21
34.4,17.6,SAN MARTIN (MZA),2019-01-21
33.9,19.2,SAN RAFAEL AERO,2019-01-21
19.2,4.6,SANTA CRUZ AERO,2019-01-21
33.6,16.9,SANTA ROSA AERO,2019-01-21
33.2,15,SANTA ROSA DE CONLARA AERO,2019-01-21
33.8,20.4,SANTIAGO DEL ESTERO AERO,2019-01-21
30.1,17,SAUCE VIEJO AERO,2019-01-21
32,17.8,SUNCHALES AERO,2019-01-21
29.5,15.1,TANDIL AERO,2019-01-21
36,18.8,TARTAGAL AERO,2019-01-21
32.5,20.5,TERMAS DE RIO HONDO AERO,2019-01-21
36,18.5,TINOGASTA,2019-01-21
30.5,16,TRELEW AERO,2019-01-21
32,17,TRENQUE LAUQUEN,2019-01-21
27.8,18,TRES ARROYOS,2019-01-21
32.1,18.2,TUCUMAN AERO,2019-01-21
13,5.4,USHUAIA AERO,2019-01-21
30.2,10,USPALLATA,2019-01-21
30.4,11,VENADO TUERTO,2019-01-21
32,15.5,VICTORICA,2019-01-21
32,20,VIEDMA AERO,2019-01-21
31.6,18.5,VILLA DOLORES AERO,2019-01-21
29.5,15,VILLA GESELL AERO,2019-01-21
31.5,21.1,VILLA MARIA DEL RIO SECO,2019-01-21
30.3,15.5,VILLA REYNOLDS AERO,2019-01-21
31,23.5,AEROPARQUE AERO,2019-01-22
33.1,15.5,AZUL AERO,2019-01-22
30.9,15.8,BAHIA BLANCA AERO,2019-01-22
18.6,9.2,BARILOCHE AERO,2019-01-22
5,-2,BASE BELGRANO II,2019-01-22
5.5,1.9,BASE CARLINI (EX JUBANY),2019-01-22
4.3,0.8,BASE ESPERANZA,2019-01-22
4.7,-2.6,BASE MARAMBIO,2019-01-22
4.3,-0.4,BASE ORCADAS,2019-01-22
2.5,-0.5,BASE SAN MARTIN,2019-01-22
33.3,14.6,BENITO JUAREZ AERO,2019-01-22
32.1,21.5,BERNARDO DE IRIGOYEN AERO,2019-01-22
33.5,20.4,BOLIVAR AERO,2019-01-22
33.4,23.6,BUENOS AIRES,2019-01-22
33.4,19.4,CAMPO DE MAYO AERO,2019-01-22
39,22.8,CATAMARCA AERO,2019-01-22
36,23.9,CERES AERO,2019-01-22
37.6,22.5,CHAMICAL AERO,2019-01-22
20.8,9.8,CHAPELCO AERO,2019-01-22
37.5,23,CHEPES,2019-01-22
38.3,19.9,CHILECITO AERO,2019-01-22
33.5,17.2,CIPOLLETTI,2019-01-22
24.7,12,COMODORO RIVADAVIA AERO,2019-01-22
31.4,20.2,CONCORDIA AERO,2019-01-22
34.3,20.1,CORDOBA AERO,2019-01-22
34.8,22.8,CORDOBA OBSERVATORIO,2019-01-22
33.1,11.4,CORONEL PRINGLES AERO,2019-01-22
32.6,11.6,CORONEL SUAREZ AERO,2019-01-22
36,23.8,CORRIENTES AERO,2019-01-22
33.7,20,DOLORES AERO,2019-01-22
22.7,9.5,EL BOLSON AERO,2019-01-22
14.9,5.6,EL CALAFATE AERO,2019-01-22
33,20,EL PALOMAR AERO,2019-01-22
33.6,22,EL TREBOL,2019-01-22
34,19.5,ESC.AVIACION MILITAR AERO,2019-01-22
18.3,10.5,ESQUEL AERO,2019-01-22
34,23.5,EZEIZA AERO,2019-01-22
37.7,23.4,FORMOSA AERO,2019-01-22
35.1,19,GENERAL PICO AERO,2019-01-22
17,,GOBERNADOR GREGORES AERO,2019-01-22
33.5,20.5,GUALEGUAYCHU AERO,2019-01-22
37.1,21.8,IGUAZU AERO,2019-01-22
36.2,21.5,ITUZAINGO,2019-01-22
37,16,JACHAL,2019-01-22
32.6,17.8,JUJUY AERO,2019-01-22
32,15.1,JUJUY U N,2019-01-22
32.2,18.1,JUNIN AERO,2019-01-22
32,20.6,LA PLATA AERO,2019-01-22
24.5,7.3,LA QUIACA OBS.,2019-01-22
40.2,23.4,LA RIOJA AERO,2019-01-22
35.1,21.2,LABOULAYE AERO,2019-01-22
33,21,LAS FLORES AERO,2019-01-22
40,25.8,LAS LOMITAS,2019-01-22
32.8,12.2,MALARGUE AERO,2019-01-22
25.5,7.7,MAQUINCHAO,2019-01-22
