tmax,tmin,station,date
22.8,12.2,TERMAS DE RIO HONDO AERO,2018-10-02
27,4,TINOGASTA,2018-10-02
16,5.7,TRELEW AERO,2018-10-02
21,3.5,TRENQUE LAUQUEN,2018-10-02
16.9,3,TRES ARROYOS,2018-10-02
19.2,11.4,TUCUMAN AERO,2018-10-02
3,0,USHUAIA AERO,2018-10-02
20.4,1.9,USPALLATA,2018-10-02
20.5,0.9,VENADO TUERTO,2018-10-02
19.7,0.2,VICTORICA,2018-10-02
14.6,2.8,VIEDMA AERO,2018-10-02
23.5,4.7,VILLA DOLORES AERO,2018-10-02
18,3.5,VILLA GESELL AERO,2018-10-02
23.5,8.5,VILLA MARIA DEL RIO SECO,2018-10-02
24,1,VILLA REYNOLDS AERO,2018-10-02
23.1,11.1,AEROPARQUE AERO,2018-10-03
19.6,1,AZUL AERO,2018-10-03
18.8,-0.5,BAHIA BLANCA AERO,2018-10-03
13.6,0.3,BARILOCHE AERO,2018-10-03
-22,-30.5,BASE BELGRANO II,2018-10-03
-1,-4.8,BASE CARLINI (EX JUBANY),2018-10-03
-8.1,-13.2,BASE ESPERANZA,2018-10-03
-12,-15.7,BASE MARAMBIO,2018-10-03
-0.6,-4.2,BASE ORCADAS,2018-10-03
,-14.2,BASE SAN MARTIN,2018-10-03
18.5,-0.5,BENITO JUAREZ AERO,2018-10-03
21.5,17.2,BERNARDO DE IRIGOYEN AERO,2018-10-03
20.3,4.4,BOLIVAR AERO,2018-10-03
23.7,10.4,BUENOS AIRES,2018-10-03
22.1,6.2,CAMPO DE MAYO AERO,2018-10-03
28.5,7.8,CATAMARCA AERO,2018-10-03
25.4,9.6,CERES AERO,2018-10-03
25,8.2,CHAMICAL AERO,2018-10-03
15,1.5,CHAPELCO AERO,2018-10-03
26.5,8.5,CHEPES,2018-10-03
24.6,6.6,CHILECITO AERO,2018-10-03
19.7,6.2,CIPOLLETTI,2018-10-03
19.2,7.4,COMODORO RIVADAVIA AERO,2018-10-03
22,8,CONCORDIA AERO,2018-10-03
24.8,4.7,CORDOBA AERO,2018-10-03
25.7,7.8,CORDOBA OBSERVATORIO,2018-10-03
16.6,0.2,CORONEL PRINGLES AERO,2018-10-03
17.3,-0.5,CORONEL SUAREZ AERO,2018-10-03
23.5,15.3,CORRIENTES AERO,2018-10-03
19.7,6.6,DOLORES AERO,2018-10-03
16.1,-2,EL BOLSON AERO,2018-10-03
11.7,5,EL CALAFATE AERO,2018-10-03
22.6,3.5,EL PALOMAR AERO,2018-10-03
24.5,5.5,EL TREBOL,2018-10-03
,,ESC.AVIACION MILITAR AERO,2018-10-03
12.2,1.5,ESQUEL AERO,2018-10-03
21.6,7.8,EZEIZA AERO,2018-10-03
20.6,16.6,FORMOSA AERO,2018-10-03
21.5,2.3,GENERAL PICO AERO,2018-10-03
15,5,GOBERNADOR GREGORES AERO,2018-10-03
22.5,5.2,GUALEGUAYCHU AERO,2018-10-03
23.2,20.6,IGUAZU AERO,2018-10-03
20,15.5,ITUZAINGO,2018-10-03
23.5,2.4,JACHAL,2018-10-03
26.1,13.5,JUJUY AERO,2018-10-03
24,10.8,JUJUY U N,2018-10-03
23,4.1,JUNIN AERO,2018-10-03
21.4,8,LA PLATA AERO,2018-10-03
23.5,3.5,LA QUIACA OBS.,2018-10-03
27,9.6,LA RIOJA AERO,2018-10-03
22.9,5.6,LABOULAYE AERO,2018-10-03
,8.8,LAS FLORES AERO,2018-10-03
19.6,14,LAS LOMITAS,2018-10-03
20,-1,MALARGUE AERO,2018-10-03
14.7,-3.4,MAQUINCHAO,2018-10-03
18.5,1.7,MAR DEL PLATA AERO,2018-10-03
24.9,4.2,MARCOS JUAREZ AERO,2018-10-03
22.2,5.3,MARIANO MORENO AERO,2018-10-03
21.8,10.2,MENDOZA AERO,2018-10-03
21,8.2,MENDOZA OBSERVATORIO,2018-10-03
22.8,11.2,MERCEDES AERO (CTES),2018-10-03
22.5,6.1,MERLO AERO,2018-10-03
23,8.5,METAN,2018-10-03
22.5,11,MONTE CASEROS AERO,2018-10-03
21.8,7.8,MORON AERO,2018-10-03
19.5,3.8,NEUQUEN AERO,2018-10-03
21.9,6.7,NUEVE DE JULIO,2018-10-03
19.5,16.5,OBERA AERO,2018-10-03
18.9,1.7,OLAVARRIA AERO,2018-10-03
26,16.6,ORAN AERO,2018-10-03
24,6.8,PARANA AERO,2018-10-03
16.4,3.7,PASO DE INDIOS,2018-10-03
22.6,12.4,PASO DE LOS LIBRES AERO,2018-10-03
24.6,14.8,PCIA. ROQUE SAENZ PE�A AERO,2018-10-03
20,4.3,PEHUAJO AERO,2018-10-03
13.8,5.7,PERITO MORENO AERO,2018-10-03
16.2,0.1,PIGUE AERO,2018-10-03
24.1,5.6,PILAR OBS.,2018-10-03
21.5,16,POSADAS AERO,2018-10-03
10,3.3,PUERTO DESEADO AERO,2018-10-03
16.8,4.4,PUERTO MADRYN AERO,2018-10-03
20.5,7.5,PUNTA INDIO B.A.,2018-10-03
24.3,5,RAFAELA AERO,2018-10-03
24,10.6,RECONQUISTA AERO,2018-10-03
23.9,15.1,RESISTENCIA AERO,2018-10-03
18.8,1.4,RIO COLORADO,2018-10-03
23.5,6,RIO CUARTO AERO,2018-10-03
13,4,RIO GALLEGOS AERO,2018-10-03
11,-2,RIO GRANDE B.A.,2018-10-03
26.2,13.5,RIVADAVIA,2018-10-03
24.2,3.3,ROSARIO AERO,2018-10-03
25,10.5,SALTA AERO,2018-10-03
18,-1.2,SAN ANTONIO OESTE AERO,2018-10-03
21.5,2.4,SAN CARLOS (MZA),2018-10-03
21.6,8.4,SAN FERNANDO,2018-10-03
